startTime,value,keys,name
2024-04-15T15:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T15:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T15:00:00Z,662.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T15:30:00Z,1214.0,Biomass,bmrs _report
2024-04-15T15:30:00Z,310.0,Fossil Hard coal,bmrs _report
2024-04-15T15:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T15:30:00Z,9.0,Hydro Pumped Storage,bmrs _report
2024-04-15T15:30:00Z,566.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T16:00:00Z,1214.0,Biomass,bmrs _report
2024-04-15T16:00:00Z,309.0,Fossil Hard coal,bmrs _report
2024-04-15T16:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T16:00:00Z,521.0,Hydro Pumped Storage,bmrs _report
2024-04-15T16:00:00Z,614.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T16:30:00Z,1217.0,Biomass,bmrs _report
2024-04-15T16:30:00Z,268.0,Fossil Hard coal,bmrs _report
2024-04-15T16:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T16:30:00Z,675.0,Hydro Pumped Storage,bmrs _report
2024-04-15T16:30:00Z,760.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T17:00:00Z,1215.0,Biomass,bmrs _report
2024-04-15T17:00:00Z,237.0,Fossil Hard coal,bmrs _report
2024-04-15T17:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T17:00:00Z,940.0,Hydro Pumped Storage,bmrs _report
2024-04-15T17:00:00Z,754.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T17:30:00Z,1211.0,Biomass,bmrs _report
2024-04-15T17:30:00Z,336.0,Fossil Hard coal,bmrs _report
2024-04-15T17:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T17:30:00Z,999.0,Hydro Pumped Storage,bmrs _report
2024-04-15T17:30:00Z,656.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T18:00:00Z,1222.0,Biomass,bmrs _report
2024-04-15T18:00:00Z,343.0,Fossil Hard coal,bmrs _report
2024-04-15T18:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T18:00:00Z,1099.0,Hydro Pumped Storage,bmrs _report
2024-04-15T18:00:00Z,642.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T18:30:00Z,1218.0,Biomass,bmrs _report
2024-04-15T18:30:00Z,448.0,Fossil Hard coal,bmrs _report
2024-04-15T18:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T18:30:00Z,1049.0,Hydro Pumped Storage,bmrs _report
2024-04-15T18:30:00Z,639.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T19:00:00Z,1209.0,Biomass,bmrs _report
2024-04-15T19:00:00Z,474.0,Fossil Hard coal,bmrs _report
2024-04-15T19:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T19:00:00Z,1026.0,Hydro Pumped Storage,bmrs _report
2024-04-15T19:00:00Z,653.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T19:30:00Z,1213.0,Biomass,bmrs _report
2024-04-15T19:30:00Z,480.0,Fossil Hard coal,bmrs _report
2024-04-15T19:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T19:30:00Z,862.0,Hydro Pumped Storage,bmrs _report
2024-04-15T19:30:00Z,663.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T20:00:00Z,1214.0,Biomass,bmrs _report
2024-04-15T20:00:00Z,438.0,Fossil Hard coal,bmrs _report
2024-04-15T20:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T20:00:00Z,1169.0,Hydro Pumped Storage,bmrs _report
2024-04-15T20:00:00Z,664.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T20:30:00Z,1211.0,Biomass,bmrs _report
2024-04-15T20:30:00Z,307.0,Fossil Hard coal,bmrs _report
2024-04-15T20:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T20:30:00Z,939.0,Hydro Pumped Storage,bmrs _report
2024-04-15T20:30:00Z,598.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T21:00:00Z,1212.0,Biomass,bmrs _report
2024-04-15T21:00:00Z,245.0,Fossil Hard coal,bmrs _report
2024-04-15T21:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T21:00:00Z,624.0,Hydro Pumped Storage,bmrs _report
2024-04-15T21:00:00Z,563.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T21:30:00Z,1311.0,Biomass,bmrs _report
2024-04-15T21:30:00Z,277.0,Fossil Hard coal,bmrs _report
2024-04-15T21:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T21:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T21:30:00Z,538.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T22:00:00Z,1502.0,Biomass,bmrs _report
2024-04-15T22:00:00Z,270.0,Fossil Hard coal,bmrs _report
2024-04-15T22:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T22:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-15T22:00:00Z,476.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T22:30:00Z,1508.0,Biomass,bmrs _report
2024-04-15T22:30:00Z,316.0,Fossil Hard coal,bmrs _report
2024-04-15T22:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T22:30:00Z,253.0,Hydro Pumped Storage,bmrs _report
2024-04-15T22:30:00Z,474.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T23:00:00Z,1501.0,Biomass,bmrs _report
2024-04-15T23:00:00Z,228.0,Fossil Hard coal,bmrs _report
2024-04-15T23:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T23:00:00Z,338.0,Hydro Pumped Storage,bmrs _report
2024-04-15T23:00:00Z,473.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-15T23:30:00Z,1502.0,Biomass,bmrs _report
2024-04-15T23:30:00Z,239.0,Fossil Hard coal,bmrs _report
2024-04-15T23:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-15T23:30:00Z,136.0,Hydro Pumped Storage,bmrs _report
2024-04-15T23:30:00Z,474.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T00:00:00Z,1507.0,Biomass,bmrs _report
2024-04-16T00:00:00Z,246.0,Fossil Hard coal,bmrs _report
2024-04-16T00:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T00:00:00Z,3.0,Hydro Pumped Storage,bmrs _report
2024-04-16T00:00:00Z,474.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T00:30:00Z,1490.0,Biomass,bmrs _report
2024-04-16T00:30:00Z,229.0,Fossil Hard coal,bmrs _report
2024-04-16T00:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T00:30:00Z,115.0,Hydro Pumped Storage,bmrs _report
2024-04-16T00:30:00Z,473.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T01:00:00Z,1510.0,Biomass,bmrs _report
2024-04-16T01:00:00Z,241.0,Fossil Hard coal,bmrs _report
2024-04-16T01:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T01:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T01:00:00Z,457.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T01:30:00Z,1502.0,Biomass,bmrs _report
2024-04-16T01:30:00Z,236.0,Fossil Hard coal,bmrs _report
2024-04-16T01:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T01:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T01:30:00Z,456.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T02:00:00Z,1227.0,Biomass,bmrs _report
2024-04-16T02:00:00Z,249.0,Fossil Hard coal,bmrs _report
2024-04-16T02:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T02:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T02:00:00Z,456.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T02:30:00Z,1179.0,Biomass,bmrs _report
2024-04-16T02:30:00Z,230.0,Fossil Hard coal,bmrs _report
2024-04-16T02:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T02:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T02:30:00Z,455.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T03:00:00Z,1263.0,Biomass,bmrs _report
2024-04-16T03:00:00Z,230.0,Fossil Hard coal,bmrs _report
2024-04-16T03:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T03:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T03:00:00Z,467.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T03:30:00Z,1474.0,Biomass,bmrs _report
2024-04-16T03:30:00Z,231.0,Fossil Hard coal,bmrs _report
2024-04-16T03:30:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T03:30:00Z,0.0,Hydro Pumped Storage,bmrs _report
2024-04-16T03:30:00Z,466.0,Hydro Run-of-river and poundage,bmrs _report
2024-04-16T04:00:00Z,1501.0,Biomass,bmrs _report
2024-04-16T04:00:00Z,229.0,Fossil Hard coal,bmrs _report
2024-04-16T04:00:00Z,0.0,Fossil Oil,bmrs _report
2024-04-16T04:00:00Z,0.0,Hydro Pumped Storage,bmrs _report
